scenario,seed,intersection_id,step_time_seconds,solver,selected_phase_0_green_seconds,selected_phase_2_green_seconds,qubo_objective,exact_objective,objective_gap,relative_objective_gap,exact_optimum_recovered,runtime_seconds,circuit_depth_p,shots,valid,failure_reason
High,42,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.56731,2,2048,True,
High,42,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.56461,2,2048,True,
High,42,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.54156,2,2048,True,
High,42,J1,31.0,qaoa,22,40,1.034797,1.034797,0.0,0.0,True,0.51679,2,2048,True,
High,42,J2,31.0,qaoa,22,40,1.034797,1.034797,0.0,0.0,True,0.5753,2,2048,True,
High,42,J3,31.0,qaoa,22,40,1.034797,1.034797,0.0,0.0,True,0.57037,2,2048,True,
High,42,J4,31.0,qaoa,22,40,1.034892,1.034892,0.0,0.0,True,0.64676,2,2048,True,
High,42,J1,46.0,qaoa,40,30,2.768141,1.541652,1.226489,0.795568,False,0.51362,2,2048,True,
High,42,J2,46.0,qaoa,30,30,3.301024,1.54151,1.759514,1.141423,False,0.59711,2,2048,True,
High,42,J3,46.0,qaoa,40,22,1.035175,1.035175,0.0,0.0,True,0.5512,2,2048,True,
High,42,J4,46.0,qaoa,40,22,2.048317,2.048317,0.0,0.0,True,0.54578,2,2048,True,
High,101,J1,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.60684,2,2048,True,
High,101,J2,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.62229,2,2048,True,
High,101,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.65582,2,2048,True,
High,101,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.63671,2,2048,True,
High,101,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.54174,2,2048,True,
High,101,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.6069,2,2048,True,
High,101,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.61085,2,2048,True,
High,101,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.61443,2,2048,True,
High,101,J1,31.0,qaoa,22,40,1.540943,1.540943,0.0,0.0,True,0.63994,2,2048,True,
High,101,J2,31.0,qaoa,22,40,1.541085,1.541085,0.0,0.0,True,0.63415,2,2048,True,
High,101,J3,31.0,qaoa,22,40,1.541085,1.541085,0.0,0.0,True,0.62951,2,2048,True,
High,101,J4,31.0,qaoa,22,40,1.541085,1.541085,0.0,0.0,True,0.61138,2,2048,True,
High,101,J1,46.0,qaoa,40,30,2.768141,1.541652,1.226489,0.795568,False,0.53175,2,2048,True,
High,101,J2,46.0,qaoa,40,22,1.035175,1.035175,0.0,0.0,True,0.57401,2,2048,True,
High,101,J3,46.0,qaoa,40,30,2.768141,1.541652,1.226489,0.795568,False,0.58797,2,2048,True,
High,101,J4,46.0,qaoa,40,30,2.768141,1.541652,1.226489,0.795568,False,0.59414,2,2048,True,
High,202,J1,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.5008,2,2048,True,
High,202,J2,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.6588,2,2048,True,
High,202,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.57421,2,2048,True,
High,202,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.56284,2,2048,True,
High,202,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.50077,2,2048,True,
High,202,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.54714,2,2048,True,
High,202,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.56685,2,2048,True,
High,202,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.54187,2,2048,True,
High,202,J1,31.0,qaoa,22,40,1.034797,1.034797,0.0,0.0,True,0.56461,2,2048,True,
High,202,J2,31.0,qaoa,22,40,1.541085,1.541085,0.0,0.0,True,0.5534,2,2048,True,
High,202,J3,31.0,qaoa,22,40,1.034797,1.034797,0.0,0.0,True,0.70503,2,2048,True,
High,202,J4,31.0,qaoa,22,40,1.034797,1.034797,0.0,0.0,True,0.73037,2,2048,True,
High,202,J1,46.0,qaoa,40,22,1.541652,1.541652,0.0,0.0,True,0.47849,2,2048,True,
High,202,J2,46.0,qaoa,40,22,1.541652,1.541652,0.0,0.0,True,0.53243,2,2048,True,
High,202,J3,46.0,qaoa,40,22,1.541652,1.541652,0.0,0.0,True,0.55925,2,2048,True,
High,202,J4,46.0,qaoa,40,22,1.541652,1.541652,0.0,0.0,True,0.56319,2,2048,True,
High,303,J1,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.56146,2,2048,True,
High,303,J2,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.7154,2,2048,True,
High,303,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.60138,2,2048,True,
High,303,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.62389,2,2048,True,
High,303,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.58385,2,2048,True,
High,303,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.59573,2,2048,True,
High,303,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.60583,2,2048,True,
High,303,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.66865,2,2048,True,
High,303,J1,31.0,qaoa,22,40,1.034797,1.034797,0.0,0.0,True,0.56816,2,2048,True,
High,303,J2,31.0,qaoa,22,40,1.034797,1.034797,0.0,0.0,True,0.63717,2,2048,True,
High,303,J3,31.0,qaoa,22,40,1.034797,1.034797,0.0,0.0,True,0.64641,2,2048,True,
High,303,J4,31.0,qaoa,30,40,2.767573,1.541085,1.226489,0.795861,False,0.59286,2,2048,True,
High,303,J1,46.0,qaoa,40,30,2.768141,1.541652,1.226489,0.795568,False,0.5198,2,2048,True,
High,303,J2,46.0,qaoa,40,30,2.768141,1.541652,1.226489,0.795568,False,0.56548,2,2048,True,
High,303,J3,46.0,qaoa,40,30,2.768141,1.541652,1.226489,0.795568,False,0.63337,2,2048,True,
High,303,J4,46.0,qaoa,40,30,2.768141,1.541652,1.226489,0.795568,False,0.57434,2,2048,True,
High,404,J1,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.52718,2,2048,True,
High,404,J2,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.79992,2,2048,True,
High,404,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.58487,2,2048,True,
High,404,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.60674,2,2048,True,
High,404,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.53504,2,2048,True,
High,404,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.58799,2,2048,True,
High,404,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.57256,2,2048,True,
High,404,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.59211,2,2048,True,
High,404,J1,31.0,qaoa,22,40,1.034797,1.034797,0.0,0.0,True,0.55215,2,2048,True,
High,404,J2,31.0,qaoa,22,40,1.034797,1.034797,0.0,0.0,True,0.59835,2,2048,True,
High,404,J3,31.0,qaoa,22,40,1.034703,1.034703,0.0,0.0,True,0.5971,2,2048,True,
High,404,J4,31.0,qaoa,22,40,1.034892,1.034892,0.0,0.0,True,0.60575,2,2048,True,
High,404,J1,46.0,qaoa,40,22,1.541652,1.541652,0.0,0.0,True,0.56761,2,2048,True,
High,404,J2,46.0,qaoa,40,22,1.541652,1.541652,0.0,0.0,True,0.59862,2,2048,True,
High,404,J3,46.0,qaoa,40,22,1.541652,1.541652,0.0,0.0,True,0.62392,2,2048,True,
High,404,J4,46.0,qaoa,40,22,2.048317,2.048317,0.0,0.0,True,0.5445,2,2048,True,
