scenario,seed,controller,solver,simulation_duration_seconds,total_vehicles,average_waiting_time_seconds,total_waiting_time_seconds,average_queue_length,maximum_queue_length,throughput_vehicles_per_hour,average_travel_time_seconds,total_fuel_consumption_litres,total_co2_emissions_grams,solver_runtime_seconds,qaoa_recovery_rate,qaoa_objective_gap,delta_avg_waiting_time,delta_avg_queue,delta_throughput,delta_travel_time,delta_fuel,delta_co2
High,42,QAOA,qaoa,60.0,7,0.0,0.0,7.883,7,420.0,15.0,1.6789,3858.25,0.15059,0.875,0.186625,0.0,0.55,-300.0,0.0,0.005,11.46
High,101,Fixed-Time,fixed,60.0,12,0.0,0.0,7.5,5,720.0,15.0,1.7034,3914.6,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
High,101,Classical Adaptive,classical_adaptive,60.0,12,0.0,0.0,7.5,5,720.0,15.0,1.7034,3914.6,0.00079,,,0.0,0.0,0.0,0.0,0.0,0.0
High,101,QUBO Exact,exact,60.0,8,0.0,0.0,7.483,6,480.0,15.0,1.6819,3864.96,0.00057,,,0.0,-0.017,-240.0,0.0,-0.0215,-49.64
High,101,QAOA,qaoa,60.0,8,0.0,0.0,7.483,6,480.0,15.0,1.6819,3864.96,0.1625,0.8125,0.229967,0.0,-0.017,-240.0,0.0,-0.0215,-49.64
High,202,Fixed-Time,fixed,60.0,12,0.0,0.0,7.25,5,720.0,15.0,1.6989,3904.19,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
High,202,Classical Adaptive,classical_adaptive,60.0,12,0.0,0.0,7.25,5,720.0,15.0,1.6989,3904.19,0.00064,,,0.0,0.0,0.0,0.0,0.0,0.0
High,202,QUBO Exact,exact,60.0,8,0.0,0.0,7.417,6,480.0,15.0,1.676,3851.5,0.00061,,,0.0,0.167,-240.0,0.0,-0.0229,-52.69
High,202,QAOA,qaoa,60.0,8,0.0,0.0,7.417,6,480.0,15.0,1.676,3851.5,0.15326,1.0,0.0,0.0,0.167,-240.0,0.0,-0.0229,-52.69
High,303,Fixed-Time,fixed,60.0,12,0.0,0.0,7.267,5,720.0,15.0,1.72,3952.64,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
High,303,Classical Adaptive,classical_adaptive,60.0,12,0.0,0.0,7.267,5,720.0,15.0,1.72,3952.64,0.0007,,,0.0,0.0,0.0,0.0,0.0,0.0
High,303,QUBO Exact,exact,60.0,8,0.0,0.0,7.5,6,480.0,15.0,1.7033,3914.17,0.0006,,,0.0,0.233,-240.0,0.0,-0.0167,-38.47
High,303,QAOA,qaoa,60.0,8,0.0,0.0,7.5,6,480.0,15.0,1.7033,3914.17,0.16243,0.6875,0.383278,0.0,0.233,-240.0,0.0,-0.0167,-38.47
High,404,Fixed-Time,fixed,60.0,12,0.0,0.0,7.7,6,720.0,15.0,1.7163,3944.09,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
High,404,Classical Adaptive,classical_adaptive,60.0,12,0.0,0.0,7.7,6,720.0,15.0,1.7163,3944.09,0.00065,,,0.0,0.0,0.0,0.0,0.0,0.0
High,404,QUBO Exact,exact,60.0,7,0.0,0.0,8.083,7,420.0,15.0,1.7148,3940.77,0.00059,,,0.0,0.383,-300.0,0.0,-0.0015,-3.32
High,404,QAOA,qaoa,60.0,7,0.0,0.0,8.083,7,420.0,15.0,1.7148,3940.77,0.15915,1.0,0.0,0.0,0.383,-300.0,0.0,-0.0015,-3.32
